pond_id,pond_name,orbit_direction,layer,zone,observation_count,first_observation,last_observation,median_min_db,median_max_db,median_mean_db,median_std_db,median_range_db,median_range_without_common_shift_db
24,Unnamed,ASCENDING,HHHH,whole,7,2026-06-27,2026-09-19,-12.016468,-10.111516,-11.159357,0.624651,1.904952,1.904952
24,Unnamed,ASCENDING,HVHV,shoreline,7,2026-06-27,2026-09-19,-18.745394,-16.786711,-17.826547,0.628361,1.958683,1.958683
24,Unnamed,ASCENDING,HVHV,whole,7,2026-06-27,2026-09-19,-18.745394,-16.786711,-17.826547,0.628361,1.958683,1.958683
24,Unnamed,DESCENDING,HHHH,shoreline,6,2026-06-26,2026-09-18,-12.310183,-5.085321,-10.495476,2.704060,7.224862,1.620339
24,Unnamed,DESCENDING,HHHH,whole,6,2026-06-26,2026-09-18,-12.310183,-5.085321,-10.495476,2.704060,7.224862,1.620339
24,Unnamed,DESCENDING,HVHV,shoreline,6,2026-06-26,2026-09-18,-17.947932,-11.613671,-16.209326,2.288805,6.334261,1.098235
24,Unnamed,DESCENDING,HVHV,whole,6,2026-06-26,2026-09-18,-17.947932,-11.613671,-16.209326,2.288805,6.334261,1.098235
25,Unnamed,ASCENDING,HHHH,shoreline,7,2026-06-27,2026-09-19,-14.031697,-12.306668,-13.369367,0.531615,1.725029,1.725029
25,Unnamed,ASCENDING,HHHH,whole,7,2026-06-27,2026-09-19,-14.031697,-12.306668,-13.369367,0.531615,1.725029,1.725029
25,Unnamed,ASCENDING,HVHV,shoreline,7,2026-06-27,2026-09-19,-20.846583,-20.130121,-20.532222,0.259049,0.716462,0.716462
25,Unnamed,ASCENDING,HVHV,whole,7,2026-06-27,2026-09-19,-20.846583,-20.130121,-20.532222,0.259049,0.716462,0.716462
25,Unnamed,DESCENDING,HHHH,shoreline,6,2026-06-26,2026-09-18,-15.886053,-6.792247,-13.763837,3.471434,9.093805,1.567531
25,Unnamed,DESCENDING,HHHH,whole,6,2026-06-26,2026-09-18,-15.886053,-6.792247,-13.763837,3.471434,9.093805,1.567531
25,Unnamed,DESCENDING,HVHV,shoreline,6,2026-06-26,2026-09-18,-20.435053,-11.688281,-18.658079,3.426471,8.746773,0.789046
25,Unnamed,DESCENDING,HVHV,whole,6,2026-06-26,2026-09-18,-20.435053,-11.688281,-18.658079,3.426471,8.746773,0.789046
26,Unnamed,ASCENDING,HHHH,shoreline,7,2026-06-27,2026-09-19,-12.701285,-11.017889,-11.922645,0.649134,1.683396,1.683396
26,Unnamed,ASCENDING,HHHH,whole,7,2026-06-27,2026-09-19,-12.701285,-11.017889,-11.922645,0.649134,1.683396,1.683396
26,Unnamed,ASCENDING,HVHV,shoreline,7,2026-06-27,2026-09-19,-18.648332,-17.619522,-18.245128,0.338640,1.028810,1.028810
26,Unnamed,ASCENDING,HVHV,whole,7,2026-06-27,2026-09-19,-18.648332,-17.619522,-18.245128,0.338640,1.028810,1.028810
26,Unnamed,DESCENDING,HHHH,shoreline,6,2026-06-26,2026-09-18,-13.979439,-6.613387,-12.141981,2.832038,7.366052,2.125462
26,Unnamed,DESCENDING,HHHH,whole,6,2026-06-26,2026-09-18,-13.979439,-6.613387,-12.141981,2.832038,7.366052,2.125462
26,Unnamed,DESCENDING,HVHV,shoreline,6,2026-06-26,2026-09-18,-18.596355,-12.870370,-17.254685,2.191001,5.725985,0.999464
26,Unnamed,DESCENDING,HVHV,whole,6,2026-06-26,2026-09-18,-18.596355,-12.870370,-17.254685,2.191001,5.725985,0.999464
27,Unnamed,ASCENDING,HHHH,core,7,2026-06-27,2026-09-19,-15.544904,-13.311076,-14.121278,0.796286,2.233828,2.233828
27,Unnamed,ASCENDING,HHHH,shoreline,7,2026-06-27,2026-09-19,-12.926360,-11.639073,-12.300427,0.428185,1.287287,1.287287
27,Unnamed,ASCENDING,HHHH,whole,7,2026-06-27,2026-09-19,-13.072522,-12.001883,-12.580711,0.373503,1.070639,1.070639
27,Unnamed,ASCENDING,HVHV,core,7,2026-06-27,2026-09-19,-22.117696,-21.415241,-21.718016,0.284896,0.702455,0.702455
27,Unnamed,ASCENDING,HVHV,shoreline,7,2026-06-27,2026-09-19,-20.686859,-19.884800,-20.339178,0.302969,0.802059,0.802059
27,Unnamed,ASCENDING,HVHV,whole,7,2026-06-27,2026-09-19,-20.952362,-20.272133,-20.613296,0.249417,0.680230,0.680230
27,Unnamed,DESCENDING,HHHH,core,6,2026-06-26,2026-09-18,-17.220705,-5.540348,-14.773048,4.555076,11.680357,1.412848
27,Unnamed,DESCENDING,HHHH,shoreline,6,2026-06-26,2026-09-18,-15.604541,-5.465236,-13.601014,4.003467,10.139305,1.075744
27,Unnamed,DESCENDING,HHHH,whole,6,2026-06-26,2026-09-18,-15.773995,-5.465236,-13.775029,4.085464,10.308760,0.958381
27,Unnamed,DESCENDING,HVHV,core,6,2026-06-26,2026-09-18,-22.208662,-10.308809,-19.728888,4.637392,11.899853,1.276258
27,Unnamed,DESCENDING,HVHV,shoreline,6,2026-06-26,2026-09-18,-20.800212,-10.447225,-18.653076,4.033633,10.352986,0.858064
27,Unnamed,DESCENDING,HVHV,whole,6,2026-06-26,2026-09-18,-20.897018,-10.436954,-18.864786,4.136389,10.460064,0.669031
28,Unnamed,ASCENDING,HHHH,shoreline,7,2026-06-27,2026-09-19,-10.532499,-8.961041,-9.642174,0.577621,1.571458,1.571458
28,Unnamed,ASCENDING,HHHH,whole,7,2026-06-27,2026-09-19,-10.532499,-8.961041,-9.642174,0.577621,1.571458,1.571458
28,Unnamed,ASCENDING,HVHV,shoreline,7,2026-06-27,2026-09-19,-17.771548,-16.339050,-17.063070,0.521996,1.432498,1.432498
